441240,4634665,ARSON
447706,4619375,HOMICIDE
445468,4620578,ARSON
454252,4613475,ARSON
441093,4625468,ARSON
437267,4638386,ARSON
439794,4628600,HOMICIDE
440240,4624649,ARSON
444333,4622569,ARSON
442370,4649018,HOMICIDE
447016,4617998,INTERFERENCE WITH PUBLIC OFFICER
440179,4638105,INTERFERENCE WITH PUBLIC OFFICER
440241,4634896,INTERFERENCE WITH PUBLIC OFFICER
441523,4635993,INTERFERENCE WITH PUBLIC OFFICER
444241,4620648,INTERFERENCE WITH PUBLIC OFFICER
448062,4615631,ARSON
444356,4629075,HOMICIDE
449552,4622337,HOMICIDE
446811,4614893,ARSON
439885,4636583,INTERFERENCE WITH PUBLIC OFFICER
448319,4615805,INTERFERENCE WITH PUBLIC OFFICER
437906,4636463,INTERFERENCE WITH PUBLIC OFFICER
443049,4636484,INTERFERENCE WITH PUBLIC OFFICER
442267,4633810,HOMICIDE
441051,4633688,HOMICIDE
447790,4624937,INTERFERENCE WITH PUBLIC OFFICER
440141,4637461,INTERFERENCE WITH PUBLIC OFFICER
445468,4613485,INTERFERENCE WITH PUBLIC OFFICER
448136,4616710,HOMICIDE
436532,4637092,HOMICIDE
436532,4637092,HOMICIDE
438307,4636170,ARSON
448944,4625299,INTERFERENCE WITH PUBLIC OFFICER
445618,4624806,INTERFERENCE WITH PUBLIC OFFICER
448180,4617452,INTERFERENCE WITH PUBLIC OFFICER
448384,4617325,INTERFERENCE WITH PUBLIC OFFICER
441349,4642561,ARSON
445178,4619571,HOMICIDE
448738,4622647,HOMICIDE
436301,4638640,ARSON
451287,4623058,INTERFERENCE WITH PUBLIC OFFICER
446431,4624238,INTERFERENCE WITH PUBLIC OFFICER
445493,4626868,INTERFERENCE WITH PUBLIC OFFICER
449895,4621479,INTERFERENCE WITH PUBLIC OFFICER
447092,4615016,ARSON
444744,4621975,HOMICIDE
441509,4625170,HOMICIDE
441371,4635792,INTERFERENCE WITH PUBLIC OFFICER
443180,4626031,INTERFERENCE WITH PUBLIC OFFICER
441097,4634369,INTERFERENCE WITH PUBLIC OFFICER
446520,4617330,INTERFERENCE WITH PUBLIC OFFICER
449729,4622137,INTERFERENCE WITH PUBLIC OFFICER
437468,4627631,INTERFERENCE WITH PUBLIC OFFICER
441775,4632676,ARSON
439130,4638404,INTERFERENCE WITH PUBLIC OFFICER
445072,4625508,INTERFERENCE WITH PUBLIC OFFICER
438327,4640972,ARSON
437510,4639906,HOMICIDE
434244,4626297,ARSON
448762,4632175,HOMICIDE
435569,4648593,INTERFERENCE WITH PUBLIC OFFICER
453533,4621703,ARSON
439974,4638262,HOMICIDE
439102,4641845,ARSON
445070,4628465,HOMICIDE
439917,4636284,HOMICIDE
435909,4640304,HOMICIDE
445382,4640600,ARSON
448582,4628794,INTERFERENCE WITH PUBLIC OFFICER
441147,4626388,INTERFERENCE WITH PUBLIC OFFICER
448055,4635973,ARSON
446131,4624000,HOMICIDE
443995,4625587,INTERFERENCE WITH PUBLIC OFFICER
448336,4614988,INTERFERENCE WITH PUBLIC OFFICER
449676,4625574,INTERFERENCE WITH PUBLIC OFFICER
437320,4640465,HOMICIDE
438919,4642022,HOMICIDE
446118,4643719,INTERFERENCE WITH PUBLIC OFFICER
453955,4622602,INTERFERENCE WITH PUBLIC OFFICER
446555,4615128,INTERFERENCE WITH PUBLIC OFFICER
436073,4636757,INTERFERENCE WITH PUBLIC OFFICER
452208,4623196,HOMICIDE
436594,4638891,HOMICIDE
440163,4639120,INTERFERENCE WITH PUBLIC OFFICER
444060,4628444,ARSON
439768,4638475,INTERFERENCE WITH PUBLIC OFFICER
442233,4636345,INTERFERENCE WITH PUBLIC OFFICER
441523,4635993,INTERFERENCE WITH PUBLIC OFFICER
446479,4620556,INTERFERENCE WITH PUBLIC OFFICER
453438,4619744,INTERFERENCE WITH PUBLIC OFFICER
441872,4632934,HOMICIDE
439726,4634458,HOMICIDE
444823,4623980,HOMICIDE
439865,4625251,ARSON
445382,4640600,ARSON
449466,4616564,INTERFERENCE WITH PUBLIC OFFICER
442503,4639731,INTERFERENCE WITH PUBLIC OFFICER
